"Amb17615145";"O[C@@H]1C[C@@H](CCn2c(C(C)C)c(c(c2c2ccc(cc2)F)c2ccccc2)C(=O)Nc2ccccc2O)OC(=O)C1"
"Amb17615147";"O[C@@H](C[C@H](CC(=O)[O-])O)CCn1c(C(C)C)c(c(c1c1ccc(cc1)F)c1ccccc1)C(=O)Nc1ccc(cc1)[O-].[Na+].[Na+]"
"Amb17615148";"O[C@@H](C[C@H](CC(=O)[O-])O)CCn1c(C(C)C)c(c(c1c1ccc(cc1)F)c1c([2H])c([2H])c(c(c1[2H])[2H])[2H])C(=O)Nc1ccc(cc1)[O-].[Na+].[Na+]"
"Amb17617195";"CO[C@@H](CC(=O)[O-])C[C@@H](CCn1c(C(C)C)c(c(c1c1ccc(cc1)F)c1ccccc1)C(=O)Nc1ccccc1)O"
"Amb17619294";"O=C(OC(C)(C)C)C[C@H]1C[C@@H](CCn2c(C(C)C)c(c(c2c2ccc(cc2)F)c2c([2H])c([2H])c(c(c2[2H])[2H])[2H])C(=O)Nc2ccccc2)OC(O1)(C)C"
"Amb19130786";"CC(C)(C)OC(=O)C[C@@H]1C[C@H](CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccccc2OCc2ccccc2)OC(C)(C)O1"
"Amb19130787";"CC(C)(C)OC(=O)C[C@@H]1C[C@H](CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccc(cc2)OCc2ccccc2)OC(C)(C)O1"
"Amb19131433";"CC(C)(C)OC(=O)C[C@@H]1C[C@H](CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccccc2)C(=O)Nc2ccccc2)OC(C)(C)O1"
"Amb19132358";"CC(C)(C)OC(=O)C[C@@H]1C[C@H](CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccccc2O)OC(C)(C)O1"
"Amb19132359";"CC(C)(C)OC(=O)C[C@@H]1C[C@H](CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccc(O)cc2)OC(C)(C)O1"
"Amb19848993";"CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)[n]1CCC(O)CC(O)CC([O-])=O"
"Amb22055996";"[Na+].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)[n]1CCC(O)CC(=O)CC([O-])=O"
"Amb22264600";"CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(Cc2ccc(F)cc2)[n]1CCC(OCC)OCC"
"Amb24084695";"CC(C)(C)OC(=O)CC1CC(CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccccc2O)OC(C)(C)O1"
"Amb24084696";"CC(C)(C)OC(=O)CC1CC(CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccccc2OCc2ccccc2)OC(C)(C)O1"
"Amb24084697";"CC(C)(C)OC(=O)CC1CC(CC[n]2c(C(C)C)c(c(-c3ccccc3)c2-c2ccc(F)cc2)C(=O)Nc2ccc(cc2)OCc2ccccc2)OC(C)(C)O1"
"Amb2678449";"COC(=O)C[C@@H](CCn1c(C(C)C)c(c(c1c1ccc(cc1)F)c1ccccc1)C(=O)Nc1ccccc1)O"
"Amb28536894";"CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)[n]1CCC1CC(O)CC(=O)O1"
"Amb28543952";"CC(C)c1c(c(c(-c2ccccc2)[n]1CCC(O)CC(O)CC(=O)O[Ca]OC(=O)CC(O)CC(O)CC[n]1c(c(c(c1C(C)C)C(=O)Nc1ccccc1)-c1ccc(F)cc1)-c1ccccc1)-c1ccc(F)cc1)C(=O)Nc1ccccc1"
"Amb28992585";"[Ca+2].CC(C)c1c(c(c(-c2ccccc2)[n]1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)C(=O)Nc1ccccc1.CC(C)c1c(c(c(-c2ccccc2)[n]1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)C(=O)Nc1ccccc1"
"Amb32411857";"CC(C)c1c(C(=O)Nc2ccccc2O)c(-c2ccccc2)c(-c2ccc(F)cc2)[n]1CC[C@@H](O)C[C@@H](O)CC(O)=O"
"Amb33825939";"CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)[n]1CCC(=O)C[C@@H](O)CC(O)=O"
"Amb33845026";"CC(C)(C)OC(=O)C[C@H]1C[C@@H](CC[n]2c(C(C)C)c(c(-c3ccc(F)cc3)c2-c2ccc(F)cc2)C(=O)Nc2ccccc2)OC(C)(C)O1"
"Amb33848208";"[Ca+2].CC(C)c1c(c(c(-c2ccc(F)cc2)[n]1CC[C@@H](O)C[C@@H](O)CC(=O)NCC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)C(=O)Nc1ccccc1.CC(C)c1c(c(c(-c2ccc(F)cc2)[n]1CC[C@@H](O)C[C@@H](O)CC(=O)NCC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)C(=O)Nc1ccccc1"
