"Amb35791974";"NC(=O)c1[n][n](c[n]1)[13C@@H]1O[13C@H]([13CH2]O)[13C@@H](O)[13C@H]1O"
"Amb35795440";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O"
"Amb35795447";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"
"Amb35796525";"CO[13C](=O)[13c]1[n][n](c[n]1)[C@@H]1O[C@H](COC(C)=O)C(OC(C)=O)C1OC(C)=O"
"Amb35797982";"COC(=O)c1[n][n](c[n]1)[13C@@H]1O[13C@H]([13CH2]OC(C)=O)[13C@H](OC(C)=O)[13C@H]1OC(C)=O"
"Amb35802672";"NC(=O)c1[n][n](c[n]1)[C@@H]1C[C@@H](O)[C@H](CO)O1"
"Amb35806378";"CC(=O)OC[C@@H]1O[C@@H]([C@H]2OC(C)(C)O[C@@H]12)[n]1c[n]c([n]1)C(N)=O"
"Amb35816457";"CC1(C)OC2[C@@H](O1)[C@H](O[C@H]2CO)[n]1c[n]c([n]1)C(N)=O"
"Amb35817064";"COC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@H](O)C1O"
"Amb35818428";"[Li]OP(=O)(OC[C@@H]1O[C@@H](C(O)[C@@H]1O)[n]1c[n]c([n]1)C(N)=O)O[Li]"
"Amb35818431";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@H](O)C1O"
"Amb36281808";"Cl.NC(=N)c1[n][n](c[n]1)C1OC(CO)C(O)C1O"
"Amb36282046";"OC(=O)c1[n]c[n]([n]1)C1OC(CO)C(O)C1O"
"Amb36282640";"NC(=O)c1[n]c[n][n]1C1OC(CO)C(O)C1O"
"Amb36286055";"NC(=O)c1[n][n](c[n]1)C1OC(COC(=O)c2ccccc2)C(O)C1O"
"Amb36287909";"CC(=O)OC1C(OC(C)=O)C(COC(C)=O)OC1[n]1c[n]c(C#N)[n]1"
"Amb36292078";"Cl.NC(=N)c1[n][n](c[n]1)[13C@@H]1O[13C@H]([13CH2]O)[13C@@H](O)[13C@H]1O"
"Amb36292190";"NC(=O)c1[n]c[n][n]1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb36293931";"NC(=O)c1[n][n](c[n]1)[13C@H]1O[13C@@H]([13CH2]O)[13C@H](O)[13C@@H]1O"
"Amb37787142";"[Li+].[Li+].NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O"
"Amb37856126";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"
